,Airlines,Sources,Destinations,Duration,Total Stops,Date,Arrival Time,Departure Time,Prices
180,Air India,BOM,DEL,2h 15m,direct,5/6/2024,23:15,21:00,"₹ 4,770"
181,Vistara,BOM,DEL,2h 10m,direct,5/6/2024,01:00+1,22:50,"₹ 4,870"
182,IndiGo,BOM,DEL,2h 20m,direct,5/6/2024,13:10,10:50,"₹ 5,972"
183,Vistara,BOM,DEL,2h 15m,direct,5/6/2024,00:10+1,21:55,"₹ 4,870"
184,SpiceJet,BOM,DEL,2h 05m,direct,5/6/2024,00:55+1,22:50,"₹ 5,039"
185,SpiceJet,BOM,DEL,2h 10m,direct,5/6/2024,01:20+1,23:10,"₹ 5,271"
186,IndiGo,BOM,DEL,2h 05m,direct,5/6/2024,01:35+1,23:30,"₹ 5,342"
187,IndiGo,BOM,DEL,2h 10m,direct,5/6/2024,23:25,21:15,"₹ 5,342"
188,IndiGo,BOM,DEL,2h 05m,direct,5/6/2024,3:20,1:15,"₹ 5,552"
189,IndiGo,BOM,DEL,2h 10m,direct,5/6/2024,5:10,3:00,"₹ 5,762"
190,Air India,BOM,DEL,2h 20m,direct,5/6/2024,3:50,1:30,"₹ 6,517"
191,Air India,BOM,DEL,2h 15m,direct,5/6/2024,12:15,10:00,"₹ 8,575"
192,Air India,BOM,DEL,2h 20m,direct,5/6/2024,11:20,9:00,"₹ 8,575"
193,Air India,BOM,DEL,2h 15m,direct,5/6/2024,9:15,7:00,"₹ 8,785"
194,Air India,BOM,DEL,2h 30m,direct,5/6/2024,18:30,16:00,"₹ 6,107"
195,Vistara,BOM,DEL,2h 10m,direct,5/6/2024,14:45,12:35,"₹ 5,910"
196,Vistara,BOM,DEL,2h 10m,direct,5/6/2024,21:55,19:45,"₹ 6,477"
197,Vistara,BOM,DEL,2h 15m,direct,5/6/2024,22:55,20:40,"₹ 6,477"
198,Air India,BOM,DEL,2h 20m,direct,5/6/2024,3:50,1:30,"₹ 6,517"
199,IndiGo,BOM,DEL,2h 00m,direct,5/6/2024,11:45,9:45,"₹ 6,707"
200,Vistara,BOM,DEL,2h 20m,direct,5/6/2024,17:00,14:40,"₹ 6,719"
201,IndiGo,BOM,DEL,2h 05m,direct,5/6/2024,8:20,6:15,"₹ 7,127"
202,Vistara,BOM,DEL,2h 10m,direct,5/6/2024,8:05,5:55,"₹ 7,317"
203,Vistara,BOM,DEL,2h 15m,direct,5/6/2024,12:40,10:25,"₹ 7,361"
204,IndiGo,BOM,DEL,2h 05m,direct,5/6/2024,9:05,7:00,"₹ 7,757"
205,IndiGo,BOM,DEL,2h 05m,direct,5/6/2024,10:35,8:30,"₹ 7,757"
206,Vistara,BOM,DEL,2h 10m,direct,5/6/2024,8:40,6:30,"₹ 8,278"
207,Akasa Air,BOM,DEL,2h 15m,direct,5/6/2024,10:05,7:50,"₹ 8,355"
208,Air India,BOM,DEL,2h 15m,direct,5/6/2024,12:15,10:00,"₹ 8,575"
209,Air India,BOM,DEL,2h 20m,direct,5/6/2024,11:20,9:00,"₹ 8,575"
210,Vistara,BOM,DEL,2h 15m,direct,5/6/2024,19:40,17:25,"₹ 8,577"
211,IndiGo,BOM,DEL,2h 15m,direct,5/6/2024,7:05,4:50,"₹ 6,497"
212,IndiGo,BOM,DEL,4h 45m,1 stop,5/6/2024,23:10,18:25,"₹ 6,791"
213,IndiGo,BOM,DEL,2h 05m,direct,5/6/2024,9:50,7:45,"₹ 8,072"
214,Air India,BOM,DEL,2h 15m,direct,5/6/2024,9:15,7:00,"₹ 8,785"
215,Vistara,BOM,DEL,2h 10m,direct,5/6/2024,10:55,8:45,"₹ 11,302"
216,"Air India Express, Air India Express",BOM,DEL,6h 25m,1 stop,5/6/2024,13:20,6:55,"₹ 5,277"
217,Air India Express,BOM,DEL,8h 05m,1 stop,5/6/2024,02:30+1,18:25,"₹ 5,277"
218,Vistara,BOM,DEL,7h 05m,1 stop,5/6/2024,16:45,9:40,"₹ 5,998"
219,IndiGo,BOM,DEL,7h 20m,1 stop,5/6/2024,23:25,16:05,"₹ 6,077"
220,IndiGo,BOM,DEL,4h 10m,1 stop,5/6/2024,6:35,2:25,"₹ 6,791"
221,IndiGo,BOM,DEL,4h 35m,1 stop,5/6/2024,8:40,4:05,"₹ 6,791"
222,IndiGo,BOM,DEL,4h 55m,1 stop,5/6/2024,7:20,2:25,"₹ 6,791"
223,IndiGo,BOM,DEL,5h 40m,1 stop,5/6/2024,00:10+1,18:30,"₹ 6,791"
224,IndiGo,BOM,DEL,5h 50m,1 stop,5/6/2024,6:35,0:45,"₹ 6,791"
225,IndiGo,BOM,DEL,6h 35m,1 stop,5/6/2024,01:00+1,18:25,"₹ 6,791"
226,IndiGo,BOM,DEL,6h 50m,1 stop,5/6/2024,13:15,6:25,"₹ 6,791"
227,Vistara,BOM,DEL,6h 55m,1 stop,5/6/2024,22:00,15:05,"₹ 7,178"
228,IndiGo,BOM,DEL,4h 10m,1 stop,5/6/2024,9:35,5:25,"₹ 9,001"
229,Vistara,BOM,DEL,5h 40m,1 stop,5/6/2024,17:05,11:25,"₹ 9,076"
230,Air India,BOM,DEL,5h 00m,1 stop,5/6/2024,23:25,18:25,"₹ 9,537"
231,IndiGo,BOM,DEL,4h 05m,1 stop,5/6/2024,20:55,16:50,"₹ 9,689"
232,IndiGo,BOM,DEL,5h 00m,1 stop,5/6/2024,01:00+1,20:00,"₹ 9,689"
233,IndiGo,BOM,DEL,6h 15m,1 stop,5/6/2024,23:10,16:55,"₹ 9,689"
234,Air India,BOM,DEL,5h 40m,1 stop,5/6/2024,21:45,16:05,"₹ 9,722"
235,Vistara,BOM,DEL,4h 15m,1 stop,5/6/2024,16:25,12:10,"₹ 10,306"
236,IndiGo,BOM,DEL,5h 20m,1 stop,5/6/2024,20:35,15:15,"₹ 10,428"
237,Air India,BOM,DEL,3h 40m,1 stop,5/6/2024,8:55,5:15,"₹ 10,628"
238,Air India,BOM,DEL,5h 40m,1 stop,5/6/2024,22:20,16:40,"₹ 10,874"
239,Air India,BOM,DEL,5h 25m,1 stop,5/6/2024,16:25,11:00,"₹ 11,527"
240,Vistara,BOM,DEL,4h 05m,1 stop,5/6/2024,10:25,6:20,"₹ 11,863"
241,Air India,BOM,DEL,4h 55m,1 stop,5/6/2024,19:55,15:00,"₹ 12,715"
242,Vistara,BOM,DEL,4h 25m,1 stop,5/6/2024,11:40,7:15,"₹ 12,952"
243,Air India,BOM,DEL,4h 50m,1 stop,5/6/2024,20:20,15:30,"₹ 13,006"
244,Air India,BOM,DEL,2h 20m,direct,5/6/2024,10:20,8:00,"₹ 13,972"
245,Vistara,BOM,DEL,2h 05m,direct,5/6/2024,9:35,7:30,"₹ 15,932"
246,Air India Express,BOM,DEL,8h 50m,1 stop,5/6/2024,07:25+1,22:35,"₹ 5,277"
247,IndiGo,BOM,DEL,6h 15m,1 stop,5/6/2024,8:40,2:25,"₹ 6,791"
248,IndiGo,BOM,DEL,6h 35m,1 stop,5/6/2024,7:20,0:45,"₹ 6,791"
249,IndiGo,BOM,DEL,7h 10m,1 stop,5/6/2024,11:15,4:05,"₹ 6,791"
250,IndiGo,BOM,DEL,7h 55m,1 stop,5/6/2024,8:40,0:45,"₹ 6,791"
251,IndiGo,BOM,DEL,8h 50m,1 stop,5/6/2024,11:15,2:25,"₹ 6,791"
252,IndiGo,BOM,DEL,8h 55m,1 stop,5/6/2024,13:00,4:05,"₹ 6,791"
253,Air India,BOM,DEL,8h 00m,1 stop,5/6/2024,13:30,5:30,"₹ 7,295"
254,"Air India Express, Air India Express",BOM,DEL,8h 30m,1 stop,5/6/2024,05:05+1,20:35,"₹ 7,417"
255,IndiGo,BOM,DEL,7h 20m,1 stop,5/6/2024,00:10+1,16:50,"₹ 8,103"
256,Air India Express,BOM,DEL,7h 55m,1 stop,5/6/2024,20:10,12:15,"₹ 8,147"
257,Air India,BOM,DEL,7h 35m,1 stop,5/6/2024,18:05,10:30,"₹ 8,583"
258,SpiceJet,BOM,DEL,6h 00m,1 stop,5/6/2024,7:50,1:50,"₹ 8,640"
259,IndiGo,BOM,DEL,8h 05m,1 stop,5/6/2024,01:00+1,16:55,"₹ 8,858"
260,IndiGo,BOM,DEL,9h 05m,1 stop,5/6/2024,19:45,10:40,"₹ 8,858"
261,"SpiceJet, Akasa Air",BOM,DEL,9h 05m,1 stop,5/6/2024,08:50+1,23:45,"₹ 9,162"
262,Air India,BOM,DEL,8h 05m,1 stop,5/6/2024,02:30+1,18:25,"₹ 9,460"
263,Air India,BOM,DEL,5h 30m,1 stop,5/6/2024,02:30+1,21:00,"₹ 9,565"
264,IndiGo,BOM,DEL,7h 55m,1 stop,5/6/2024,23:10,15:15,"₹ 9,689"
265,IndiGo,BOM,DEL,9h 10m,1 stop,5/6/2024,06:35+1,21:25,"₹ 9,786"
266,Air India,BOM,DEL,8h 20m,1 stop,5/6/2024,18:20,10:00,"₹ 10,192"
267,Air India,BOM,DEL,8h 25m,1 stop,5/6/2024,18:30,10:05,"₹ 10,294"
268,Air India Express,BOM,DEL,6h 25m,1 stop,5/6/2024,12:15,5:50,"₹ 10,591"
269,Air India,BOM,DEL,8h 25m,2 stops,5/6/2024,18:30,10:05,"₹ 10,791"
